,review_id,user_id,business_id,stars,useful,funny,cool,text,date,AFINN score,Review Length (words),AFINN score (abs),Normalised AFINN score,Normalised (abs),SQRT Normailzed,SQRT Normalised (abs)
4178153,yF6d02MXPbG4rlqy7B3V4g,JVRqXddt3D5bzTlRqRmlYA,iSRTaT9WngzB8JJ2YKJUig,5.0,0,0,0,ABSOLUTELY LOVED THIS PLACE! The overall look of it was a little dirty but the food was ON POINT. Definitely will be returning. I 110% recommend the jambalaya & the seafood gumbo.,2017-08-28 21:18:57,3.0,179,3.0,0.09375,0.09375,0.22423052782558076,0.22423052782558076
4178290,FkjHzmXaQhHWeng_hXzeyA,KXlEgbJp7N0wOinFJNBpWw,iSRTaT9WngzB8JJ2YKJUig,4.0,0,0,0,"We had heard about mother from our uber driver on the way into town so we decided to check it out. My girlfriend and I both ordered the shrimp po'boy and the reviews tell all. The shrimp tasted fresh, and like it was breaded and prepared in house. The bread was not to crunchy but wasnt soggy & it also had the perfect amount of mayo and slaw. We also had a side of red beans & rice; which was very tasty as well. I would recommend coming to Mother's if youre searching for a lunch or dinner spot.",2018-01-21 05:28:33,9.0,497,9.0,0.09090909090909091,0.09090909090909091,0.40370517361463093,0.40370517361463093
4178327,dQRWmYUqsBZ9DkI2fQi2RQ,xzt3gE7M1WAIrY3je5fjFw,iSRTaT9WngzB8JJ2YKJUig,4.0,0,0,0,"This is pretty much a big ol hole in the wall, but it was yummay!! I saw this place on Food Network so I couldn't wait to try it. I ordered the gumbo! It was delish, the roux was all kinds of perfect. The perfect golden golden brown color with a nice smooth taste. And there was a decent amount of crab too. The bread pudding here was pretty amazing too. I think we will have to visit each time we are in town. It's just like a simple home cooked meal, no shenanigans. Not fancy, not great customer service but the food is good from what I tasted, no complaints here!",2016-01-30 04:42:11,20.0,567,20.0,0.17857142857142858,0.17857142857142858,0.8399210511316161,0.8399210511316161
4178330,9ZrFPi6hLMrfOdb-JBiuWA,RN5lwE44Ya26JQFITuo8RQ,iSRTaT9WngzB8JJ2YKJUig,5.0,0,0,0,So so good. Normally packed but we went for a late lunch and got lucky with a full house but no line. Great sandwiches and very nice portions. Would highly recommend especially with such a great location. Close to the casino as well.,2018-06-09 01:23:08,16.0,233,16.0,0.37209302325581395,0.37209302325581395,1.0481948513286694,1.0481948513286694
4178447,aj8-BFFOCbNCY_XysJr7zA,b791Y3WOxuw0DxFB6qsfzg,iSRTaT9WngzB8JJ2YKJUig,4.0,0,0,1,Go for the debris biscuit for breakfast - pretty much impossible to disappoint.,2007-12-10 18:26:12,-1.0,79,1.0,-0.07692307692307693,0.07692307692307693,-0.1125087900926024,0.1125087900926024
4178548,-SdFJctPd8Bh8opSowrRsw,2EnZ-yBOY6bQK6ouIRsszg,iSRTaT9WngzB8JJ2YKJUig,4.0,0,0,0,"I had the pancakes and sweet potato pie, both were really tasty!   I liked the atmosphere even though it's a bit cramped.",2011-03-20 03:22:44,4.0,121,4.0,0.16666666666666666,0.16666666666666666,0.36363636363636365,0.36363636363636365
4178550,ePRjg3Cd4nqrpE6jnA99-Q,sCz1QqCgdhLvNh7lXCrJQg,iSRTaT9WngzB8JJ2YKJUig,3.0,2,1,1,"I would have guessed this was going to be amazing based on the lines out the door the first couple of times we came by. It wasn't worth that, but it was pretty good. I will say the grits were unremarkable (and I love grits), but I totally enjoyed the potato salad (almost mashed potatoes but cold and really good). Po' boy was definitely a hit and servings were absolutely huge. Wish I had thought to add cheese to my shrimp po' boy like my pal, whoops. Was it quick? Nah. Best service ever? Not close. You put up a ""no tipping allowed"" sign and it doesn't take long for service to slide. You can also watch people eating in the kitchen from the street, which isn't super hygienic. All that aside, it's a solid, fairly priced meal (perhaps in comparison to the meals I had the rest of the week). Wish I had realized breakfast was served all day though, yum. I'd go back for the potato salad alone.",2013-05-07 05:34:26,28.0,897,28.0,0.16470588235294117,0.16470588235294117,0.934892788611849,0.934892788611849
4178572,ZDLBvYqFiQgePYVWmPQRTQ,gHXRVD-Et9mkxGOpsjm_Rg,iSRTaT9WngzB8JJ2YKJUig,4.0,0,0,0,"I was drenched on my walk over from the casino in search of Mother's, and I was glad to find her for two reasons.  The first, clearly to get out of the rain. The second, to have that delicious, hot seafood gumbo take out the chill and replace it with all those good food feelings.   First time I'd had the dish, and I'm glad it was at Mother's!",2014-08-10 21:15:04,13.0,344,13.0,0.18309859154929578,0.18309859154929578,0.7009130258223497,0.7009130258223497
4178583,epROZwRUg13JgjLjvkYETw,d-HWxVs08xYWWK7_CwsXfw,iSRTaT9WngzB8JJ2YKJUig,3.0,1,0,0,"I have heard lots about this place. And looked forward to visiting. I looked online and knew that all I wanted was the bread pudding. I'm a vegetarian, most of the things on the menu had meet. Which was fine, they are known for the ""best ham in the world,"" and I knew that before I came. The decor and ambiance was cool, nothing special. The service was good, they are very clear on how the ordering and seating process works as soon as you open the door.  
The bread pudding didn't look appetizing but it was GOOD, not great like I thought but good. I like that I have different fruit in it, seems like they added fruit from a fruit cocktail can. It was a reasonable price. Nice and warm, and came out quick.",2015-06-08 21:17:25,29.0,709,29.0,0.2116788321167883,0.2116788321167883,1.0891178609735854,1.0891178609735854
4178634,JnDVxuh72Nar1qMU6_U5qg,9NSLZBHdbRvhlK7MH_LFgQ,iSRTaT9WngzB8JJ2YKJUig,4.0,0,0,0,Like the seafood platter. DO NOT PARK ON THE STREET with pay booth --they have a private parking lot which you can have the ticket validated in the restaurant.,2013-12-28 21:43:03,2.0,159,2.0,0.06896551724137931,0.06896551724137931,0.15861031714362883,0.15861031714362883
4178856,EnHWZ2HuxNkEJWFyvFxlDA,HxRDjlxBA5Z1apc6PxXwpw,iSRTaT9WngzB8JJ2YKJUig,5.0,0,0,0,"By far, the Ferdi is the best sandwich I have had here in New Orleans! I would return anytime to have another. Drink a mother's bloody too! Great Food!",2014-10-11 12:48:07,3.0,151,3.0,0.10344827586206896,0.10344827586206896,0.24413653763134782,0.24413653763134782
4178919,CTISZMnViwdVlmem0ZhAzw,9DZodV6-cbnwz8Sp-TE6pw,iSRTaT9WngzB8JJ2YKJUig,4.0,0,0,0,"The atmosphere was nice. It was a bit confusing on how to actually get seated. You literally wait outside until there is room to stand inside. Between the three of us we had chicken, ham, green beans, cabbage, fries, turnip greens, potato salad and red beans and rice. My daughter loved her chicken, my husband loved the green beans and I loved the turnips. We both like the ham and we all loved the red beans and rice. The service was fast and very friendly. Recommend red beans and rice for sure. Price points was fine and plenty of food.",2018-03-15 21:28:19,21.0,540,21.0,0.21,0.21,0.903696114115064,0.903696114115064
4179189,pu1JQX4qAuVtWWRxZ4NniA,6661pFcEna27kBl6rimv1w,iSRTaT9WngzB8JJ2YKJUig,4.0,0,0,0,"Fried chicken is the best I've ever had in Nola!
Its a dry light batter, and not overly seasoned and salty like other chicken joints...i'm going back tomorrow to try their fried oysters!  Oh, and love the red beans and rice with chunks of their infamous ham...omg.",2016-03-07 03:05:50,8.0,264,8.0,0.1702127659574468,0.1702127659574468,0.4923659639173309,0.4923659639173309
4179252,te8bGDQalYa81SHdcKTXsA,3SCZaAIcR1zPizr3E-9Iaw,iSRTaT9WngzB8JJ2YKJUig,5.0,1,0,0,"Couldn't leave New Orleans without trying this iconic place and man am I glad I did. When we arrived there was a line at the door. It moved very quickly as the staff inside moves everyone along the cafeteria style ordering. 

Frog soup - Had to try this. It was very flavorful and very meaty for a soup. 
Fried chicken - Crispy, moist, not greasy at all. My favorite fried chicken to date. 
Green beans - amazing
Greens - needed a little bit of salt but appreciated that versus having them come too salty
Potato salad - You can tell it's homemade and it was amazing. 
Biscuits - The BEST biscuits I have EVER had
Bread pudding - the sauce...loved the consistency of it but the sauce was everything

The staff was on point, food was fast, with the exception of the chicken which they tell you is about 25 minutes because they fry it fresh...worth the wait.",2018-05-08 16:15:38,23.0,855,23.0,0.14935064935064934,0.14935064935064934,0.7865834032652849,0.7865834032652849
4179309,zYInE5pSepuuj9-YRaLymg,CIyIy2b_F6-2k7qNFcFV6w,iSRTaT9WngzB8JJ2YKJUig,4.0,3,0,1,"The Bae and I wanted a more down-home eatery before the Drake & Future concert. We figured a more ""Mom+Pop""-esque situation in the business district would be difficult to find. Actually, we lucked up! 

Using the handy, dandy Yelp app and Google, we both stumbled upon Mother's and knew She was the one.  Only a 10 minute walk from InterContinental, it was an easy find. 

Mother's is reminiscent of a diner with minimal seating, but not the congested feeling. There were copious amounts of portraits on the wall of celebs, war heros and other memorabilia to gaze over. We were instructed to grab the menus by the door and place our orders when ready. I ordered the shrimp po boy, he got the Famous Ferdi. After placing orders, we found seating in a quaint corner. A very nice waiter (with a rich NOLA accent that I gushed over) came by to introduce himself and took our beverage needs. Not long afterwards, our food arrived.

Let me just say that the shrimp po boy is SO GOOD. seasoned very well and crispy. My boyfriend's Ferdi sandwich was hearty and huge. His eyes were bigger than his stomach bc he couldn't finish it all. Me? I had NO problems with my po boy; we connected on biblical level, lol. I will say that the sandwiches were a bit pricey? I understand WHERE Mother's is located and its reputation, so yeah. But it was our vacation and we played along.",2016-09-06 02:05:04,11.0,1365,11.0,0.044534412955465584,0.044534412955465584,0.2977325790784217,0.2977325790784217
4179327,FeQ2wS8aCZghPkwFfgcjew,Us7ijh6LFeXI46BnKX8lKQ,iSRTaT9WngzB8JJ2YKJUig,2.0,0,0,0,"Went for breakfast expecting the Fendi to change my life, however, I was sorely disappointed.  The meat is cooked well enough, but the roll was soggy which made it difficult to enjoy.  Add that to the high cost of the sandwich and I find it difficult to recommend Mothers over some other options.",2013-05-28 20:29:39,0.0,296,0.0,0.0,0.0,0.0,0.0
4179361,ERdK67sTT5LNDxiGBRdPoQ,m61sAybeT8pjZDu0tz0qjQ,iSRTaT9WngzB8JJ2YKJUig,5.0,0,0,0,"Because this is one of the restaurants New Orleans is known for, my wife and I had to visit.  We had the Famous Ferdi Special, the Egg and Turkey Sausage Po Boy, a cup of Seafood Gumbo, and the Bread Pudding.  All were very good.  It's a neat little place.  A word of warning.:.a tad on the touristy side and very busy.  Plan your trip accordingly.  I wouldn't hesitate to visit again.",2018-03-23 19:04:47,0.0,385,0.0,0.0,0.0,0.0,0.0
4179418,pmyEXLtyovjuRbPSwaX-vg,-Tg5YTEMbnYw3fQN99xKCQ,iSRTaT9WngzB8JJ2YKJUig,3.0,0,0,0,Great breakfast for a reasonable price between 730a and 930a.  Overall there are better spots in New Orleans but if your hotel is in the CBD or canal street area this a nice spot.,2011-01-09 01:58:06,8.0,179,8.0,0.22857142857142856,0.22857142857142856,0.5979480742015487,0.5979480742015487
4179518,ndrw3u1P0j8s5ycVV83sbA,evCg8GC5XFCDvwNMR3nRsg,iSRTaT9WngzB8JJ2YKJUig,2.0,0,0,0,"The locals rave about this place but I was not very impressed.  The shrimp po'boy was decent, the shrimp was large and succulent but the bread was stale.  The prices were a little steep.  I would consider trying somewhere else for a po'boy next time.",2013-01-28 01:51:52,3.0,250,3.0,0.0625,0.0625,0.18973665961010278,0.18973665961010278
4179526,_FfOQrR78uqCG0IvmOjroA,oJ4_AVeLBlLje849rrp6tQ,iSRTaT9WngzB8JJ2YKJUig,4.0,0,0,0,"Stopped in for breakfast this morning. Great service. Ordered Mae's omelet and it came with a homemade biscuit and jam. The ham in the omelet was amazing, but the mushrooms did not taste good. The omelet came with grits too. Again, service was great and very friendly.",2015-05-12 20:41:54,14.0,268,14.0,0.2978723404255319,0.2978723404255319,0.8551861104941365,0.8551861104941365
4179580,8EnNdrHO-WFLvSTRNp1Y4A,Yc-4trRUSlJpwCGTXU1GDw,iSRTaT9WngzB8JJ2YKJUig,4.0,0,0,0,"Oh Mothers, where have you even all my life? I'm writing this after my second visit to this wonderful place, and all I can think about is my third, and fourth and one hundredth trip there, the food is that flipping good! I just can't wait to go back.

To start, they served the best ham I have ever had. Hands down. I totally ""pigged out"" on it. It was seriously some divine swine. Oink oink!!
And on the side was some serious cabbage. I don't know what they cooked it in, but I would bathe in whatever magical liquid they cooked this scrumptious side dish in. Triple oink!!

The service at this gem is great too. Staff is sassy in the best way. They help you out but you also know they mean business!

All in all, this place is fabulous. With a name like Mothers it has to be good!!",2014-04-19 14:09:13,30.0,783,30.0,0.20270270270270271,0.20270270270270271,1.072112534837795,1.072112534837795
4179715,Gk5ILXOjq3dH9ckSetzogQ,ymXsuIT5gb1u8UkRADhQig,iSRTaT9WngzB8JJ2YKJUig,4.0,0,0,0,"Come hungry and leave stuffed! Wow! I had the shrimp and oyster po boy. Boyfriend had a turkey po boy. We shared fries. We could have done with one sandwich! 

The Creole mustard on the turkey was really great! 

My only complaint is that the prices drive you to get the full size sandwich as the difference between the small and regular was only $1-2. Thanks for the extra pounds!!",2016-04-23 03:03:10,7.0,382,7.0,0.1,0.1,0.3581511570676556,0.3581511570676556
4180038,uuxA7PVkqfBWEVHZsaB0HA,5_VlxpJEhDWFnUVMKDzSWw,iSRTaT9WngzB8JJ2YKJUig,5.0,1,0,0,"Mother's for breakfast was the most enjoyable experience in our dining repertoire while in NOLA. The service is friendly and personable. The food is down home and reminds me of what my grandmother would make. We all enjoyed our amazing breakfasts with huge portions and affordable pricing. 

I had the baked ham and grits. The baked ham was the most delicious ham I have ever eaten, but please don't tell my mother. It was juicy and flavorful with five huge pieces. I am craving it even now as I am writing this review.
The biscuits were homemade, huge and fluffy (the size of your palm). The butter looked homemade, as well. The jelly came in individual containers, which one would infer the jelly was homemade, also. The omelets were fluffy with many ingredients - no skimping on anything at Mother's. My friend had the breakfast special and she really enjoyed it. 

I truly wanted ham and grits every day after being at Mother's. Our plan was to return a second time during our stay, but we were not able to make it back. We would have loved to have eaten here often during our time in New Orleans. 

Mother's is not an upscale establishment. This is a plain, honest, local diner and the atmosphere is like being in your grandmother's kitchen. The table and chairs are old, the place needs a fresh coat of paint, and the floor needs repair. If this bothers you, this is not the place to eat. If you want great food you will be thinking of long after you have returned home, you have to eat here. The food is unforgettable and the ham is second to none.",2017-02-19 23:25:31,31.0,1555,31.0,0.1099290780141844,0.1099290780141844,0.7861338504785094,0.7861338504785094
4180048,FCZ1uLVBbdrRlMa1rMgBCA,D9IMOsV39BvoDNb08N9myQ,iSRTaT9WngzB8JJ2YKJUig,3.0,0,0,0,"Pretty decent food. Lovely wait staff. It's a cool atmosphere but he prices are pretty steep. Expect to wait in line, though it does move rather quickly.

Overall, I'd say stick with the shrimp poboy, it seemed like the best value.",2012-02-01 14:42:01,11.0,231,11.0,0.275,0.275,0.7237468644557459,0.7237468644557459
4180118,vKmma4Tc4Xi8gf4f0LXOVw,i9EoadXikONJ3rQNOPDfGw,iSRTaT9WngzB8JJ2YKJUig,4.0,0,0,0,"good food, good prices. Go in between breakfast and lunch for no lines. It's packed in there!! there's something called debris, which sounded really scary, but it looked delicious. I got the crawfish ettoufee omelet because I was in New Orleans, and it did not disappoint.

pecan pie was not that good. Crust was really hard. This was after trying the pecan pie at Brennan's, which is pretty amazing. 

So get the biscuits, creamy grits, and eggs. YUM!",2011-04-22 17:18:15,11.0,452,11.0,0.14285714285714285,0.14285714285714285,0.5173964776109785,0.5173964776109785
4180197,LgppQ_ECCT5wyC-xZwIN5w,l1w-oZxPOVRooai5nwz3Bg,iSRTaT9WngzB8JJ2YKJUig,1.0,0,0,0,"I was very excited to try this place due to all the reviews. I ordered the world famous ham, rice/beans, potato salad, and cabbage. I noticed there were many people handling the food behind the counter, on what looked like a buffet style but for the servers to prepare on a plate for you. There were about 6 people behind the food counter. And what was concerning was no employee handling the food had a hair net on or gloves! Also they were cleaning for the night and spraying cleaning spray right near to the open food. I was nervous for my food to be brought to the table and for a reason. I received my plate from the waiter and the first thing I noticed immediately was a thick black curly hair on my ham. I tried not to get sick and told the waiter about the hair. He picked up my plate very rudely and said nothing no apology or anything. He went back and seemed to yell at the workers behind the food counter. A few seconds later a new plate had arrived. But by then it was too late my appetite was complete gone and along with my money since this place makes you pay before you get the food. I do not recommend this place at all. Horrible service and definitely problems with sanitation at this restaurant.",2016-08-04 00:14:41,-4.0,1215,4.0,-0.017241379310344827,0.017241379310344827,-0.1147550621098494,0.1147550621098494
4180224,kO_xiVVNKhy6QFHuqt9BxA,FPmqBcsWlcAiy0Apdws3Ag,iSRTaT9WngzB8JJ2YKJUig,2.0,0,0,0,I will never never eat here again the manager would not return a side item and stated that's the way they cook it and he could not exchange. The customers  are lined up outside in the smothering heat and when we got inside there was no one in the dining area this is propaganda at finest. Management is very rude - I've never seen anything like this.,2015-07-03 21:40:54,0.0,350,0.0,0.0,0.0,0.0,0.0
4180420,YjfbtzmrUAvAcjh-lr_OsQ,Y0iyCDBmNoGNMRhYGhcyAw,iSRTaT9WngzB8JJ2YKJUig,5.0,1,0,1,Fantastic food! Good service. Lovely atmosphere. Biscuits was true southern comfort. Roast beef PO boy with au jus was really enjoyable. Mid morning was a perfect time with minimal wait,2018-04-27 21:11:28,19.0,185,19.0,0.6333333333333333,0.6333333333333333,1.3969077819782347,1.3969077819782347
4180514,MKp6j8FJwWMofn8hetXXbg,yuR-hbpxJEkVqqnn3HHTJQ,iSRTaT9WngzB8JJ2YKJUig,4.0,0,0,0,"One word - FERDIIIII.

Got the turkey ferdi with ham.  Loved every bite from the delicious roast beef debri to the juice-soaked baguette.  It was a huge sandwich but I had ferdi-envy as soon as I finished.

Others at the table got a few sides (red beans and rice, jambalaya) and all were satisfied.

Wanted to give five stars but had to take off as it is definitely a more ""self service"" type of place (like someone mentioned, don't lose your receipt) and can be a bit pricey/touristy.  That said, I will be back - and soon.",2012-01-03 20:55:07,10.0,524,10.0,0.10309278350515463,0.10309278350515463,0.43685202833051895,0.43685202833051895
4180619,VRKaCtnEnNX8mQxoR-cEmA,iXpuRUOYbE4gaogki4qm3Q,iSRTaT9WngzB8JJ2YKJUig,1.0,0,0,0,"So sorry that seven of us went here.  The food is ridiculously bad. 
Warning: Their ""famous"" ham 13.50 is like mediocre  cafeteria food. Don't give a damn. Waste of money. 
The seafood gumbo 8.50 and the crawfish étouffée 10.75 are in small bowls and just barely warm ... Yuk. The Ferdi special 13.00 sandwich is soggy and not tasty at all. Only the shrimp and oyster po boy 18.00 is edible.  
Complete waste of time and money.",2016-08-12 21:47:54,-6.0,427,6.0,-0.075,0.075,-0.29036035109749636,0.29036035109749636
4180705,c5DULqBBeyn58AqKycaPMw,oCcGe1C2AJPttYi-5L8ySg,iSRTaT9WngzB8JJ2YKJUig,5.0,1,0,0,Did a quick Yelp review for local favorites. And this one popped up. It is delicious.  The line was long but it was fast and so worth it. The green beans and tomatoes were amazing.,2018-04-27 19:56:23,11.0,180,11.0,0.3055555555555556,0.3055555555555556,0.8198915917499229,0.8198915917499229
4180711,0hqNmKMqkI9ByS_OG98y9w,-k6vvC4ho4qqma8ZmuiFEQ,iSRTaT9WngzB8JJ2YKJUig,4.0,0,0,0,"I had the seafood gumbo, jambalaya, and Mac and cheese. All of them were good in comparison to the other popular restaurants in The French Quarter. Their homemade lemonade is good too. Also, the prices are fair, so you'll definitely get your money's worth. I just don't feel like it was worth the long line to get in, but still good food nonetheless. This will definitely be my main go to spot the next time I'm in Nola!",2018-07-26 14:30:10,20.0,420,20.0,0.2564102564102564,0.2564102564102564,0.9759000729485332,0.9759000729485332
4180858,TK0VLtWgRNTkC0FjzAYLRQ,rwsEwB2ZAXjIsmUv5L0Kug,iSRTaT9WngzB8JJ2YKJUig,4.0,1,0,0,"This is my second visit to New Orleans and my second visit to Mothers....I'm a fan...the food is GREAT!...the long wait outside in the sun....not so much.

I'm sure on a non event day the lines are not as unacceptable.

I will always go back when I'm in town!
Greedy P",2012-07-16 01:08:12,2.0,268,2.0,0.041666666666666664,0.041666666666666664,0.12216944435630522,0.12216944435630522
4180902,OFNCevsaovvTmCn1s1Ilyg,FziBgPaiqRJM71FExiJQ3Q,iSRTaT9WngzB8JJ2YKJUig,1.0,3,0,0,"Mother's is not Juicy

Nothing about this place was juicy. Not sure what the fuss is all about. I tried a lot of different plates since there was about 6 of us and I tried a bit of everyone's dish. 

Did not like the 2 different omelettes, nor the biscuit, nor the pancakes, nor the beef stew, nor the grits, nor the sausages.

The shuttle driver said that this place was a must try. But now I know I'm not missing out and I'm glad I tried this place.

The line up gets confusing and it's free seating so it gets messy.",2011-11-30 06:59:41,2.0,519,2.0,0.020202020202020204,0.020202020202020204,0.08779025626122942,0.08779025626122942
4181206,HGBMwRpbqeom5TSuP_qMtQ,qAxz3wxqZzJNURM384F4Ew,iSRTaT9WngzB8JJ2YKJUig,2.0,0,0,0,I had a shrimp po boy which was decent.  The shrimp was fresh and the bread was fresh. Beyond that there was nothing special about the place.  I also had the potato salad which was tasteless and stale. I am sure there are better places to find decent food. The bottom line is it's another tourist trap!,2014-08-24 22:14:36,3.0,302,3.0,0.05084745762711865,0.05084745762711865,0.1726306012945308,0.1726306012945308
4181314,6TZYzByc-Y-7ln9FTQWswg,jCiAOvgThaV7IYiixGwRCw,iSRTaT9WngzB8JJ2YKJUig,4.0,0,0,0,Mother's was our first food stop in New Orleans. We walked up to a line outside the building but it surprisingly moved very fast because of the team work of the employees. I ate the Ferdi Special which was great! The potato salad and turnip greens were also delicious. The wait staff were kind and attentive. Wasn't a fan of the Jambalaya.,2018-03-15 21:05:52,10.0,339,10.0,0.16129032258064516,0.16129032258064516,0.5431254465935684,0.5431254465935684
4181456,Yp_dIfOEohau81_PNkqoeQ,590n3_2wj7xIPBzw8ogXTg,iSRTaT9WngzB8JJ2YKJUig,5.0,0,0,0,"What a great meal. We went for lunch, and there was a little bit of a line, but good lord, what a meal. Fried shrimp po' boy, fully dressed. Yes, please! My wife had a Turkey Ferdi with debris, also delicious. And my sister had a beautiful black forest ham, cheese and egg on a biscuit with a pancake. Breakfast anytime. Great place, great staff, good prices. Yum!",2012-06-26 03:18:19,23.0,364,23.0,0.3382352941176471,0.3382352941176471,1.2055275622302062,1.2055275622302062
4181520,KvEGiyTkdW_eGuaxVgJ2TA,pC7RZSJYZknI12633hFm0g,iSRTaT9WngzB8JJ2YKJUig,3.0,0,0,0,"Prices reasonable, nothing will be healthy there so just go for it, The biscuit was phenomenal the grits were good to, I went there early and you had to order off the breakfast menu that disappointed me because their lunch food sounded so good. I won't even review the food because the ambience was amazing, it really made me feel like a local dining there.",2013-12-29 14:44:38,15.0,357,15.0,0.23076923076923078,0.23076923076923078,0.7938841860374447,0.7938841860374447
